公告日期,標案名稱,土地標示,面積_㎡,房屋標示,面積_㎡,建物門牌,標售底標金額,得標價,後續處理
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：145),2774000,3022880,已標脫
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：147),2774000,─,標租
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.05,中山區吉林段四小段5423建號,31.2,中山區新生北路二段53之2號(車位編號：148),2774000,─,標租
1060912,公開標售本市中山區新生北路二段47號3樓等3戶市有不動產及4個獨立停車位,中山區吉林段四小段348地號、中山區吉林段四小段354地號,2.06,中山區吉林段四小段5423建號,33.2,中山區新生北路二段53之2號(車位編號：169),2774000,2822880,已標脫
1070126,公開標售本市士林區福林路100巷70號2樓之2等5戶市有不動產,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,34947200,─,再標售
1070126,公開標售本市士林區福林路100巷70號2樓之2等5戶市有不動產,士林區福林段二小段594地號,82.88,士林區福林段二小段20340建號（含共同使用部分及停車位編號14）,214.91,士林區福林路70號3樓之2,36669400,─,再標售
1070126,公開標售本市士林區福林路100巷70號2樓之2等5戶市有不動產,中山區吉林段三小段1063、1064地號,28.89,中山區吉林段三小段5422建號（含共同使用部分及停車位編號130）,236.54,中山區民生東路二段1號10樓之2,50511500,─,再標售
1070126,公開標售本市士林區福林路100巷70號2樓之2等5戶市有不動產,中山區吉林段三小段1063、1064地號,20.86,中山區吉林段三小段5421建號（含共同使用部分及停車位編號80）,184.27,中山區民生東路二段1號10樓之3,38201200,40050000,已標脫
1070126,公開標售本市士林區福林路100巷70號2樓之2等5戶市有不動產,萬華區萬大段二小段602地號,29.61,萬華區萬大段二小段1743建號（含共同使用部分及停車位編號32、33）,302.49,萬華區萬大路344巷36號13樓之1,38790600,─,再標售
1070411,公開標售本市士林區福林路100巷70號2樓之2等4戶市有不動產,士林區福林段二小段594地號,82.88,士林區福林段二小段20339建號（含共同使用部分及停車位編號13）,214.91,士林區福林路70號2樓之2,33199800,─,
